GSM2858678	GSM2858682	GSM2858686	GSM2858688	GSM2858690	GSM2858692	GSM2858694	GSM2858699	GSM2858701	GSM2858705	GSM2858707	GSM2858711	GSM2858713	GSM2858716	GSM2858718	GSM2858726	GSM2858727	GSM2858729	GSM2858739	GSM2858742	GSM2858746	GSM2858748	GSM2858749	GSM2858760	GSM2858761	GSM2858766	GSM2858767	GSM2858772	GSM2858780	GSM2858789	GSM2858792
127707	6	6	6	6	6	6	6	6	5	6	5	5	6	5	6	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5
5081	5	5	5	6	6	6	6	5	5	5	6	6	6	6	5	5	6	6	5	5	6	6	6	5	5	5	5	5	5	5	6
101927895	6	6	6	6	6	6	6	5	6	6	6	6	7	6	6	6	6	5	6	6	6	6	6	6	6	7	6	5	7	5	6
51154	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7
54896	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	7
3362	5	4	4	4	5	4	4	5	4	4	4	4	4	4	4	4	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4
23252	6	6	6	7	7	6	7	7	7	6	7	7	6	7	6	7	7	7	7	7	7	7	7	6	6	7	6	6	6	6	7
5322	5	6	5	6	6	6	6	5	6	6	6	6	6	6	5	5	5	5	6	5	5	6	6	6	5	6	6	5	5	5	5
64600	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5
127733	6	5	6	5	6	6	6	6	6	6	6	5	6	6	6	5	5	6	6	5	5	6	6	5	5	6	5	5	5	5	5
105376827	6	5	5	6	6	6	5	6	5	6	5	5	6	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	5	5	5
127731	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	4	5	5	4	4	4	5
163933	5	5	6	6	6	5	6	6	5	6	5	5	6	6	5	5	6	6	5	6	6	5	6	5	6	5	5	5	5	5	5
978	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	4	5	5	5	5	5	4	4	5	4	5	5	4	4	4	4
65018	7	6	6	6	7	6	6	6	6	7	7	7	6	7	7	7	6	7	7	7	6	7	7	6	7	7	6	6	7	6	7
100506801	5	5	5	5	6	5	6	5	5	5	5	6	6	5	6	5	5	5	5	5	6	5	6	6	5	6	6	5	5	5	5
84224	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
249	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6
401944	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
9923	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	7	6	6	6	6	7	7	6	6	7	6	6
2046	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
712	6	6	5	5	6	6	6	6	6	6	6	6	6	6	7	9	6	6	6	7	6	6	7	6	7	6	6	5	7	6	7
714	9	9	7	8	9	8	8	11	10	10	9	10	9	10	11	12	10	10	9	12	10	10	10	7	11	10	8	8	10	10	11
713	6	6	5	6	6	5	6	6	7	7	6	7	6	5	7	8	6	6	6	7	6	5	7	6	7	7	5	5	7	6	7
2048	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	7	6	6
100616391	6	6	6	5	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	7	6	6	7	6	7	7	6	6	6	7
23028	8	8	8	8	7	7	7	8	8	8	9	9	8	9	7	10	8	8	7	8	8	7	7	7	8	8	7	8	11	9	8
100422866	4	5	4	4	4	4	4	5	4	4	4	4	4	4	5	4	4	4	4	5	4	4	4	4	4	4	5	4	4	4	5
259283	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	5	6	6	6	6	6	6	6	6	5	6	6	5	5	5	6
6135	9	8	9	9	9	8	8	9	9	9	10	10	9	9	9	10	9	9	9	9	9	8	8	9	9	9	8	10	11	10	9
6924	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	7	6	7	6	6	6	6	7	6	6	7	8	6	6
57095	7	7	7	6	7	7	7	6	7	7	7	7	7	7	7	8	7	7	6	7	7	7	6	6	7	7	6	7	8	7	6
11313	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	9	8	7
100616492	5	5	4	5	5	5	5	5	5	5	5	4	5	5	5	4	5	5	5	4	5	5	6	5	4	5	4	4	4	4	5
55629	9	9	7	8	8	8	8	7	8	8	9	9	7	8	8	10	8	8	8	9	9	8	8	8	9	9	8	9	9	9	8
284632	6	6	6	7	7	7	7	6	6	5	6	5	6	5	6	5	5	5	6	5	6	6	7	6	5	6	6	5	5	5	5
57822	5	5	5	5	5	5	5	6	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5
57185	5	6	6	5	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6
11123	7	7	7	7	7	7	7	6	7	6	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7
400746	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6
10250	9	9	8	8	8	8	8	9	8	8	9	9	8	8	8	9	9	9	8	8	9	8	8	8	9	8	7	9	10	10	9
25932	11	9	10	10	8	9	9	9	9	10	10	11	9	10	9	14	9	10	9	10	9	8	9	10	12	10	9	13	12	14	10
6007	6	7	6	6	6	6	7	6	7	6	6	6	6	6	6	6	6	7	6	6	6	6	6	7	6	7	7	7	6	7	6
23585	9	8	8	8	7	8	8	8	8	8	8	8	8	8	8	10	8	9	8	9	9	7	7	8	9	9	8	10	10	11	8
55219	8	8	7	7	7	7	8	7	7	7	7	7	7	7	7	8	7	8	7	7	8	7	7	7	8	7	7	8	8	8	7
26119	6	6	6	6	7	6	7	6	7	6	6	7	6	7	6	7	6	7	7	7	7	6	6	6	6	7	6	6	6	6	6
57134	5	5	5	5	5	6	5	6	5	5	5	5	5	5	5	6	5	5	5	6	5	5	6	5	5	5	5	5	5	5	5
2134	5	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	5	6	5	5	5	6	5	5
149420	6	6	6	5	6	5	6	5	6	6	6	6	6	6	6	5	6	6	5	6	6	6	6	5	5	6	6	6	5	6	6
79927	5	6	5	6	6	6	6	6	6	6	5	5	6	6	5	5	5	6	5	5	6	5	6	6	5	6	6	5	5	5	6
51042	6	5	6	5	6	5	6	5	5	6	6	6	6	6	5	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	7
10256	7	7	7	6	6	6	6	6	6	6	6	7	6	7	6	6	6	6	6	6	6	7	7	7	6	7	7	7	6	7	7
378807	5	6	5	6	6	6	6	6	6	5	5	5	6	5	5	5	5	5	6	5	5	6	5	5	5	6	6	5	5	5	5
101928303	7	6	6	7	7	7	6	6	6	6	6	6	7	6	6	6	6	6	7	6	6	7	7	6	6	6	6	6	6	6	6
64793	7	7	7	7	7	6	7	7	7	6	7	7	7	7	6	7	7	7	7	6	7	6	7	7	7	7	6	7	7	7	7
